id,private,fork,size,stargazers_count,watchers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,archived,disabled,open_issues_count,allow_forking,is_template,forks,open_issues,watchers,score,num_commit
28457823,False,False,317751,346454,346454,True,False,True,False,True,28671,False,False,166,True,False,28671,166,346454,1.0,30535
177736533,False,False,188163,262379,262379,False,False,True,False,False,21507,False,False,16724,True,False,21507,16724,262379,1.0,3189
13491895,False,False,13450,233801,233801,True,False,True,False,True,48938,False,False,38,True,False,48938,38,233801,1.0,7086
60493101,False,False,16342,220706,220706,True,False,True,False,False,59784,False,False,49,True,False,59784,49,220706,1.0,1932
21737465,False,False,1371,202669,202669,True,False,True,False,True,23503,False,False,49,True,False,23503,49,202669,1.0,1039
11730342,False,False,30922,196204,196204,True,True,True,True,False,32185,False,False,557,True,False,32185,557,196204,1.0,3310
85077558,False,False,115101,195465,195465,True,True,True,True,True,28121,False,False,133,True,False,28121,133,195465,1.0,1108
54346799,False,False,5027,194105,194105,True,False,True,False,False,22373,False,False,2,True,False,22373,2,194105,1.0,4526
10270250,False,False,178658,188481,188481,True,True,True,True,True,38828,False,False,940,True,False,38828,940,188481,1.0,14989
83222441,False,False,11165,181641,181641,True,True,True,True,False,33063,False,False,310,True,False,33063,310,181641,1.0,325
45717250,False,False,900428,165248,165248,True,True,True,False,False,86812,False,False,2399,True,False,86812,2399,165248,1.0,129868
2126244,False,False,205055,157512,157512,True,True,True,False,True,76722,False,False,348,True,False,76722,348,157512,1.0,21727
14440270,False,False,10737,153932,153932,True,True,True,False,False,30383,False,False,133,True,False,30383,133,153932,1.0,1787
121395510,False,False,116174,151342,151342,True,True,True,True,True,47872,False,False,160,True,False,47872,160,151342,1.0,3776
291137,False,False,9861,145541,145541,True,True,True,True,False,24066,False,False,629,True,False,24066,629,145541,1.0,6612
132750724,False,False,845,142313,142313,True,False,True,False,False,13651,False,False,231,True,False,13651,231,142313,1.0,426
126577260,False,False,4493,141795,141795,True,False,True,False,False,23492,False,False,248,True,False,23492,248,141795,1.0,1032
31792824,False,False,202535,140968,140968,True,True,True,True,False,22182,False,False,10753,True,False,22182,10753,140968,1.0,29149
63476337,False,False,12535,136336,136336,True,True,True,True,False,35603,False,False,243,True,False,35603,243,136336,1.0,2418
1062897,False,False,2359,133495,133495,False,False,True,False,False,74978,False,False,268,True,False,74978,268,133495,1.0,3526
2325298,False,False,3795851,132228,132228,False,True,True,False,False,43097,False,False,317,True,False,43097,317,132228,1.0,1098559
41881900,False,False,497979,132108,132108,True,True,True,True,False,22434,False,False,6524,True,False,22434,6524,132108,1.0,96903
21289110,False,False,6616,128271,128271,True,False,True,False,True,21232,False,False,266,True,False,21232,266,128271,1.0,1624
6498492,False,False,3521,123473,123473,True,False,True,True,True,23693,False,False,133,True,False,23693,133,123473,1.0,1923
132464395,False,False,152790,121695,121695,True,True,True,True,False,41284,False,False,68,True,False,41284,68,121695,1.0,4111
123458551,False,False,309850,119283,119283,True,True,True,True,False,45682,False,False,643,True,False,45682,643,119283,1.0,367
19415064,False,False,1119,114091,114091,True,True,True,True,False,15611,False,False,15,True,False,15611,15,114091,1.0,931
1039520,False,False,64021,110264,110264,True,True,True,False,True,7786,False,False,4764,True,False,7786,4764,110264,1.0,18576
241576270,False,False,110599,106516,106516,True,True,True,True,False,21019,False,False,186,True,False,21019,186,106516,1.0,301
35955666,False,False,2590,106359,106359,True,True,True,False,False,11374,False,False,213,True,False,11374,213,106359,1.0,1191
29028775,False,False,849822,102885,102885,True,True,True,True,True,22125,False,False,2255,True,False,22125,2255,102885,1.0,24777
9384267,False,False,118527,101828,101828,True,True,True,False,False,13541,False,False,1586,True,False,13541,1586,101828,1.0,26384
943149,False,False,42319,101357,101357,True,False,True,True,False,23096,False,False,3,True,False,23096,3,101357,1.0,4333
23096959,False,False,306987,99520,99520,True,True,True,True,False,14841,False,False,7789,True,False,14841,7789,99520,1.0,52767
112507086,False,False,28743,95867,95867,True,True,True,True,False,10144,False,False,0,True,False,10144,0,95867,1.0,5460
63537249,False,False,23099,95186,95186,True,True,True,False,True,24600,False,False,1671,True,False,24600,1671,95186,1.0,2763
23088740,False,False,4516,93591,93591,True,True,True,False,False,9529,False,False,251,True,False,9529,251,93591,1.0,1207
14098069,False,False,1028,92956,92956,False,False,True,False,False,26148,False,False,31,True,False,26148,31,92956,1.0,911
36633370,False,False,14633,89352,89352,True,False,True,True,False,5845,False,False,147,True,False,5845,147,89352,1.0,4945
20580498,False,False,1082455,88717,88717,True,True,True,False,False,32527,False,False,2355,True,False,32527,2355,88717,1.0,108371
27193779,False,False,833172,87847,87847,True,True,True,False,False,23521,False,False,1594,True,False,23521,1594,87847,1.0,36304
70107786,False,False,1749921,87171,87171,True,False,True,False,False,18495,False,False,1195,True,False,18495,1195,87171,1.0,11330
100060912,False,False,110250,83280,83280,True,True,True,True,False,7380,False,False,1488,True,False,7380,1488,83280,1.0,3028
133442384,False,False,64858,82617,82617,True,False,True,True,False,4434,False,False,965,True,False,4434,965,82617,1.0,7403
576201,False,False,1154814,82245,82245,True,False,False,True,True,31835,False,False,480,True,False,31835,480,82245,1.0,40159
24195339,False,False,394217,81546,81546,True,True,True,False,False,21518,False,False,1380,True,False,21518,1380,81546,1.0,24561
21540759,False,False,10506,81141,81141,True,False,True,False,False,9877,False,False,13,True,False,9877,13,81141,1.0,4211
20929025,False,False,1788929,80908,80908,True,True,True,True,False,10584,False,False,5501,True,False,10584,5501,80908,1.0,33380
34526884,False,False,907019,80432,80432,True,True,True,True,True,34126,False,False,838,True,False,34126,838,80432,1.0,22046
23083156,False,False,291753,78652,78652,True,True,True,False,False,27121,False,False,1189,True,False,27121,1189,78652,1.0,19722
90796663,False,False,18028,78123,78123,True,False,True,False,True,8352,False,False,1881,True,False,8352,1881,78123,1.0,2638
